,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
Bulk 335,0.30451185795602576,0.13077693807714885,0.029093222927662313,0.4303524243629983,0.03668816724829637,0.0,0.068523426125701,5.39633021674267e-05
Bulk 336,0.26003376080409607,0.15756057956972336,0.029830618343439422,0.41136154803502795,0.07346447110162008,0.0,0.06046666247195033,0.007282359674142777
Bulk 337,0.2071898822516153,0.14402115223743,0.03792586149827077,0.49297431789263213,0.04145126659834953,0.0,0.06956959574800636,0.0068679237736958285
Bulk 338,0.27647837662018154,0.09499635685367493,0.01513361618449864,0.5303494162324512,0.06787140469797963,0.0,0.014840245806333965,0.00033058360488007606
Bulk 339,0.25436064792799207,0.11623116285241959,0.038893761723751016,0.526174412857908,0.03485416245407272,0.0,0.029359407875045047,0.00012644430881160676
Bulk 340,0.16395652243414227,0.11065175611794949,0.039334273162427116,0.6323654746058938,0.0,0.01123978112514703,0.03875402734810491,0.0036981652063353236
Bulk 341,0.23094708891546945,0.09762475504092089,0.051465654450218695,0.541920827806294,0.051783046242626314,0.0,0.026197443442416788,6.118410205390636e-05
Bulk 342,0.2826807916721349,0.11847274819876284,0.01602425213640639,0.49844131513116047,0.03343237313361432,0.0,0.04989819572870278,0.0010503239992183022
Bulk 343,0.21136448331095642,0.08808720485650326,0.048258407583103693,0.5908934662534185,0.02780577117750206,0.0,0.03356383700589286,2.6829812623090644e-05
Bulk 344,0.3577553134264928,0.21649425981532286,0.0,0.25788192791087555,0.04160663579667733,0.0,0.12371970988711001,0.002542153163521311
Bulk 345,0.35428962113343854,0.2009840589529104,0.006569236914517361,0.2735334348892532,0.05922292642096644,0.007132056731124899,0.0974467803251428,0.0008218846326464069
Bulk 346,0.06526683408720803,0.12682315117240558,0.1322728212922078,0.5752971333520732,0.06901632699352075,0.0,0.03097350886653634,0.0003502242360483142
Bulk 347,0.33791075963545425,0.16718308434036042,0.0,0.42417382014209637,0.024905152376669237,0.0,0.04381927491738864,0.002007908588031233
Bulk 348,0.23146731108730798,0.1105883920720076,0.04454888512941668,0.5372214579158634,0.0422264314804392,0.0,0.03204781363005752,0.0018997086849075696
Bulk 349,0.2407860264219294,0.13192693875149694,0.03495677271374882,0.5294675814316276,0.033724848658439985,0.0,0.029137832022757167,0.0
Bulk 350,0.2785384293352784,0.14950471558911346,0.024240226580098456,0.44435642578889517,0.03924620090424566,0.0,0.0638330277218087,0.0002809740805601669
Bulk 351,0.19717656143256757,0.07642494443608795,0.05303337563864027,0.6207031128170286,0.005545693410376835,0.0,0.04700033057492857,0.00011598169037026192
Bulk 352,0.2212327428879187,0.12941608935777954,0.03463963994199067,0.5188047698984356,0.029132545410423497,0.0,0.06479524748866121,0.001978965014790732
Bulk 353,0.21848581603635792,0.18885192176944254,0.03041010680913966,0.43567705959952024,0.02074364089219184,0.0,0.10393662157267367,0.0018948333206741878
Bulk 354,0.329017851499746,0.1744477783109964,0.012548211669669015,0.3297272452717356,0.08371883077390224,0.0,0.06894326813982221,0.0015968143341286497
Bulk 355,0.28569390513442544,0.1684140729580848,0.02539530392965475,0.404276815003211,0.060575259539329976,0.0,0.05487277955522291,0.0007718638800711068
Bulk 356,0.3436133812680244,0.1255996643637845,0.02125530619182867,0.4034971511920974,0.06059150523892386,0.0,0.04452703997026674,0.0009159517750743822
Bulk 357,0.34853070888567483,0.15880659509966333,0.0004986371937463667,0.33456399486397664,0.032825851029143295,0.0,0.12382686873194161,0.000947344195853812
Bulk 358,0.21660179329047846,0.18049259675202026,0.027630532224038433,0.3946605162727856,0.029924208069290876,0.044260118851988724,0.09689166408889757,0.009538570450500102
Bulk 359,0.248652711862826,0.13612666478280183,0.04405484600014743,0.4943738648320384,0.028187348482316903,0.0,0.04822702282944296,0.0003775412104265025
Bulk 360,0.2457743070725898,0.2037437852006823,0.03416161676889494,0.3673231971793706,0.08166976312860333,0.0,0.06732733064985906,0.0
Bulk 361,0.30087604791075995,0.22465344822232833,0.0,0.3444587948926328,0.030199968047858537,0.0,0.0992675153551287,0.0005442255712916882
