,baseMean,log2FoldChange,lfcSE,stat,pvalue,FDR
NM_000902,16.10372134,0.39882872,0.27141977,1.469416615,0.141719823,0.385644759
NM_000903,112.1779626,0.276678594,0.160687568,1.721841938,0.085098155,0.291894099
NM_000904,714.0605108,0.153684348,0.132465116,1.160187319,0.245972549,0.518207823
NM_000908,9.71047797,0.433466456,0.364644141,1.1887383,0.234542664,0.504733168
NM_000913,260.4065294,0.280759145,0.207630362,1.352206598,0.176309234,0.432569165
NM_000914,28.18980405,-0.379037335,0.247286469,-1.532786393,0.125328494,0.360343499
NM_000916,42.41886776,-0.16922647,0.215384191,-0.785695875,0.43204568,0.689572387
NM_000917,913.8216469,0.061963094,0.094708198,0.654252701,0.512949013,0.747394306
NM_000918,13986.54011,0.152566176,0.055807023,2.733816802,0.006260487,0.063633256
NM_000919,151.1629051,0.109167943,0.197564937,0.552567394,0.580559675,0.792618061
NM_000920,66.93682086,-0.191460093,0.13982799,-1.36925442,0.17091976,0.424771372
NM_000921,13.27198614,-0.038628129,0.351574939,-0.109871679,0.912511143,0.966819843
NM_000922,3885.651259,-0.056862127,0.110709434,-0.513615918,0.607520548,0.810269463
NM_000923,80.66743849,-0.394451597,0.154591601,-2.551571977,0.010723817,0.086688828
NM_000924,131.8286781,-0.489091481,0.180863269,-2.704205696,0.006846789,0.066880426
NM_000925,2387.895429,0.129687897,0.065700183,1.973935101,0.048389123,0.210430626
NM_000927,748.0971481,0.306030002,0.120216055,2.545666651,0.010906929,0.087700418
NM_000932,273.6012845,-0.323389907,0.162288249,-1.992688376,0.046295581,0.205455203
NM_000934,11.14860499,-0.046855396,0.245598866,-0.19078018,0.848697818,0.939493707
NM_000935,14.76861661,-0.186270025,0.372183034,-0.500479623,0.616737401,0.816764828
NM_000937,7077.858663,-0.057250406,0.048172673,-1.188441542,0.234659498,0.504857144
NM_000938,4209.95184,0.090127288,0.075320876,1.1965778,0.231471158,0.501086236
NM_000939,68.65434761,0.233331884,0.213084652,1.095019665,0.273508021,0.547973631
