"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAA",87.5699141377297,-1.11005175326619,0.265624391805473,-4.17902793384699,2.92757729312763e-05,0.00469895514462615
"RGL2",1111.31382305714,-0.650652460289225,0.155786937931888,-4.17655336786771,2.95959329921574e-05,0.00469895514462615
"IL11RA",466.881143700025,-0.852638422188719,0.204227458621881,-4.17494507321537,2.98057959205918e-05,0.00469895514462615
"B2M",652291.25819198,0.223016351494452,0.0534287777599372,4.17408671589859,2.99183792236854e-05,0.00469895514462615
"NICN1",719.150390869822,-0.481196396236878,0.115388873855411,-4.17021485832201,3.0431259656847e-05,0.00469895514462615
"PRKAA2",20.9967597498915,-1.10887013181288,0.265938226145479,-4.16965303516121,3.05063713855954e-05,0.00469895514462615
"STARD3",213.117942031478,-0.873585483355034,0.209538803789404,-4.16908690684818,3.05822368769417e-05,0.00469895514462615
"ZMYM6",1670.70654515406,-0.428523932365974,0.102804499674612,-4.16833828988322,3.06828325657907e-05,0.00469895514462615
"JAK3",6086.69966739213,-0.370555949160507,0.0890920290933803,-4.15924918234958,3.19295421455864e-05,0.00483555177160381
"LCAT",180.996711301947,-0.529520162339677,0.127560825825965,-4.15111895765018,3.30853735987955e-05,0.00491694861684831
"ZNF785",207.561463474417,-0.543739418256228,0.131008707267826,-4.15040671414794,3.31885013022777e-05,0.00491694861684831
"ATP5MF.PTCD1",209.85307758609,-0.393230632724419,0.0948549299182262,-4.14560037167726,3.38924493107591e-05,0.00495346972371313
"MTRF1",448.087405343631,-0.416443376308817,0.100510022189401,-4.14330200349643,3.42340642954737e-05,0.00495346972371313
"KIAA0895L",209.985517070405,-0.824064080629892,0.198983936487092,-4.14135982621567,3.45252842078318e-05,0.00495346972371313
