,CellType,Method,DataType,MissingCell,CCC,L1error
138,basophil,RNAsieve,umi2counts,ib,0.006416586884245994,0.1363089694378076
139,granulocyte,RNAsieve,umi2counts,ib,-0.006101043739360889,0.16816669383196495
140,hematopoietic precursor cell,RNAsieve,umi2counts,ib,0.07094033657108954,0.16136550601980182
141,macrophage,RNAsieve,umi2counts,ib,0.09215650260746254,0.11048956582875132
142,monocyte,RNAsieve,umi2counts,ib,-0.05505521268902343,0.12767218795015825
143,Bcell_sum,RNAsieve,umi2counts,ib,-0.023930155500609212,0.13155070705578395
144,basophil,Bisque,counts2umi,lpb,0.6858881631155442,0.10075361926005721
145,granulocyte,Bisque,counts2umi,lpb,0.7094144391420409,0.0991015608283241
146,hematopoietic precursor cell,Bisque,counts2umi,lpb,0.2997820644343948,0.1353446281592577
147,macrophage,Bisque,counts2umi,lpb,0.3252093569342155,0.17099736574993613
148,monocyte,Bisque,counts2umi,lpb,0.6332746499078205,0.11355189127879477
149,Bcell_sum,Bisque,counts2umi,lpb,0.20310185807615505,0.23290363578687606
150,basophil,Bisque,umi2counts,lpb,0.7058731058603398,0.09689305050784863
151,granulocyte,Bisque,umi2counts,lpb,0.6521437685336886,0.11230716869788417
152,hematopoietic precursor cell,Bisque,umi2counts,lpb,0.4593228187125628,0.11992610661118049
153,macrophage,Bisque,umi2counts,lpb,0.5791395398587954,0.09732222522037967
154,monocyte,Bisque,umi2counts,lpb,0.6222461220739837,0.1166155680541964
155,Bcell_sum,Bisque,umi2counts,lpb,0.30068835775004327,0.1613955363414666
156,basophil,Bisque,counts2umi,ib,0.6846166666390567,0.10072719180391378
157,granulocyte,Bisque,counts2umi,ib,0.7110370503857646,0.0970672921019355
158,hematopoietic precursor cell,Bisque,counts2umi,ib,0.21264912831902044,0.14087408501381682
159,macrophage,Bisque,counts2umi,ib,0.364975207670616,0.15543359028301507
160,monocyte,Bisque,counts2umi,ib,0.6372800187496186,0.11167124172617679
161,Bcell_sum,Bisque,counts2umi,ib,0.25573797703831375,0.23032276530389023
162,basophil,Bisque,umi2counts,ib,0.6960386200464758,0.10033914530199942
163,granulocyte,Bisque,umi2counts,ib,0.6535959706947864,0.11134486804390964
164,hematopoietic precursor cell,Bisque,umi2counts,ib,0.6596660558030891,0.08205927985117971
165,macrophage,Bisque,umi2counts,ib,0.6214278045952372,0.09215110679831641
166,monocyte,Bisque,umi2counts,ib,0.6365506294772374,0.116926088969592
167,Bcell_sum,Bisque,umi2counts,ib,0.46855819485768385,0.1575102709847869
