,CellType,Method,DataType,Tissue,CCC,L1error
186,mesenchymal stem cell,TAPE,umi2counts,Limb_Muscle,0.6270881097089719,0.1512243700182198
187,skeletal muscle satellite cell,TAPE,umi2counts,Limb_Muscle,0.7780612756972224,0.05877238050441272
188,basophil,TAPE,counts2umi,Marrow,0.5768388840579597,0.06674832248760824
189,granulocyte,TAPE,counts2umi,Marrow,0.6081113156470277,0.08310417468177274
190,hematopoietic precursor cell,TAPE,counts2umi,Marrow,0.6532971759376649,0.04675328672586356
191,immature B cell,TAPE,counts2umi,Marrow,0.47933030501920154,0.07316237719757904
192,late pro-B cell,TAPE,counts2umi,Marrow,0.8491016288441765,0.04657815137426929
193,macrophage,TAPE,counts2umi,Marrow,0.7442994921836964,0.051377587112284726
194,monocyte,TAPE,counts2umi,Marrow,0.7035938119489887,0.06505542272140535
195,basophil,TAPE,umi2counts,Marrow,0.6830130407011156,0.060467854656704734
196,granulocyte,TAPE,umi2counts,Marrow,0.8447621933815304,0.05045022981205317
197,hematopoietic precursor cell,TAPE,umi2counts,Marrow,0.49383587303900495,0.0671339533294202
198,immature B cell,TAPE,umi2counts,Marrow,0.6299279173682557,0.059841223873913156
199,late pro-B cell,TAPE,umi2counts,Marrow,0.8516082906582952,0.04392097552879357
200,macrophage,TAPE,umi2counts,Marrow,0.8075637756847256,0.04899101620849342
201,monocyte,TAPE,umi2counts,Marrow,0.8630913850740166,0.04753736161743472
202,B cell,TAPE,counts2umi,Lung,0.38826198570907056,0.06509729052735062
203,T cell,TAPE,counts2umi,Lung,0.42514416129446464,0.06074967203914725
204,ciliated columnar cell of tracheobronchial tree,TAPE,counts2umi,Lung,0.79599379125263,0.03139581003130727
205,classical monocyte,TAPE,counts2umi,Lung,0.542775341224658,0.06446397789914657
206,leukocyte,TAPE,counts2umi,Lung,0.46089418142744726,0.06145051435163259
207,lung endothelial cell,TAPE,counts2umi,Lung,0.7072488239620803,0.03702513998296861
208,myeloid cell,TAPE,counts2umi,Lung,0.5411531677517127,0.05823667168431183
209,natural killer cell,TAPE,counts2umi,Lung,0.4434674748464586,0.05592766594951762
210,stromal cell,TAPE,counts2umi,Lung,0.5282846067488741,0.05802603767049198
211,B cell,TAPE,umi2counts,Lung,0.3919860038918194,0.07678104734483845
212,T cell,TAPE,umi2counts,Lung,0.6079165261322531,0.05667833288331962
213,ciliated columnar cell of tracheobronchial tree,TAPE,umi2counts,Lung,0.6100032620863437,0.07519545378158096
214,classical monocyte,TAPE,umi2counts,Lung,0.5227888870746557,0.05930439226058543
215,leukocyte,TAPE,umi2counts,Lung,0.0660711867917317,0.10447351176219394
216,lung endothelial cell,TAPE,umi2counts,Lung,0.6820666220035527,0.07123038660013883
217,myeloid cell,TAPE,umi2counts,Lung,0.41461193775290167,0.08441848432373539
218,natural killer cell,TAPE,umi2counts,Lung,0.5267861165575053,0.06212921662587858
219,stromal cell,TAPE,umi2counts,Lung,0.6348108285731058,0.10782933385255868
220,B cell,RNAsieve,counts2umi,Limb_Muscle,-0.05217479442930318,0.09617921816544626
221,T cell,RNAsieve,counts2umi,Limb_Muscle,0.007726519834219899,0.11550263546199029
222,endothelial cell,RNAsieve,counts2umi,Limb_Muscle,-0.05833643833594874,0.11583985371479535
223,macrophage,RNAsieve,counts2umi,Limb_Muscle,0.03394118257843762,0.1338871902102639
224,mesenchymal stem cell,RNAsieve,counts2umi,Limb_Muscle,-0.03978330583066194,0.2523303172890422
225,skeletal muscle satellite cell,RNAsieve,counts2umi,Limb_Muscle,-0.16558016873083345,0.12477660316159296
226,B cell,RNAsieve,umi2counts,Limb_Muscle,0.020870763280518134,0.15172458909865247
227,T cell,RNAsieve,umi2counts,Limb_Muscle,-0.01766664725078846,0.1326706615122065
228,endothelial cell,RNAsieve,umi2counts,Limb_Muscle,-0.03606717062916058,0.22724072726348601
229,macrophage,RNAsieve,umi2counts,Limb_Muscle,0.007252604410748308,0.12640029706094025
230,mesenchymal stem cell,RNAsieve,umi2counts,Limb_Muscle,-0.008728963555063236,0.2771778858832545
231,skeletal muscle satellite cell,RNAsieve,umi2counts,Limb_Muscle,0.09222369954084005,0.1141260848006633
232,B cell,RNAsieve,counts2umi,Lung,0.06331259045351673,0.08114017859646624
233,T cell,RNAsieve,counts2umi,Lung,-0.0292019430039943,0.07808187690404772
234,ciliated columnar cell of tracheobronchial tree,RNAsieve,counts2umi,Lung,0.010848963380656022,0.129761189367152
235,classical monocyte,RNAsieve,counts2umi,Lung,0.0635805024657339,0.08103500931601833
236,leukocyte,RNAsieve,counts2umi,Lung,0.030085771165892346,0.10809349667130823
237,lung endothelial cell,RNAsieve,counts2umi,Lung,-0.02183297741227859,0.07853173466319961
238,myeloid cell,RNAsieve,counts2umi,Lung,-0.1478269644286368,0.09644219860540422
239,natural killer cell,RNAsieve,counts2umi,Lung,0.011592621117904116,0.08230027352743495
240,stromal cell,RNAsieve,counts2umi,Lung,0.04888626479008073,0.20068066224993913
241,B cell,RNAsieve,umi2counts,Lung,0.038478237645807004,0.12018393128884793
242,T cell,RNAsieve,umi2counts,Lung,-0.0011496985851094565,0.12120520243739387
243,ciliated columnar cell of tracheobronchial tree,RNAsieve,umi2counts,Lung,0.03738432417491863,0.14190255193449502
244,classical monocyte,RNAsieve,umi2counts,Lung,-0.016241505758441185,0.11322597618168748
245,leukocyte,RNAsieve,umi2counts,Lung,-0.011983341137527392,0.08330808016167845
246,lung endothelial cell,RNAsieve,umi2counts,Lung,0.008528519978759282,0.09554676279514158
247,myeloid cell,RNAsieve,umi2counts,Lung,-0.05388845417061391,0.06430162739862683
248,natural killer cell,RNAsieve,umi2counts,Lung,-0.035580931753229586,0.07421603386324638
249,stromal cell,RNAsieve,umi2counts,Lung,-0.0030923642875014,0.31388961185896297
250,basophil,RNAsieve,counts2umi,Marrow,-0.03386470538586542,0.10052988234462447
251,granulocyte,RNAsieve,counts2umi,Marrow,0.03185752781216046,0.0937818694474892
252,hematopoietic precursor cell,RNAsieve,counts2umi,Marrow,-0.044146171479777216,0.20396771724334908
253,immature B cell,RNAsieve,counts2umi,Marrow,-0.02544273989650925,0.10359387121144012
254,late pro-B cell,RNAsieve,counts2umi,Marrow,0.0013849335903377334,0.10813425003400175
255,macrophage,RNAsieve,counts2umi,Marrow,-0.07496370478850212,0.11098167618650759
256,monocyte,RNAsieve,counts2umi,Marrow,-0.0537357306885844,0.1084448098951955
257,basophil,RNAsieve,umi2counts,Marrow,-0.0378770875421729,0.1395474735565822
258,granulocyte,RNAsieve,umi2counts,Marrow,0.03807056197464473,0.17202154511532186
259,hematopoietic precursor cell,RNAsieve,umi2counts,Marrow,0.028951522021338445,0.16023138386216357
260,immature B cell,RNAsieve,umi2counts,Marrow,-0.005757508936284543,0.11113534363100269
261,late pro-B cell,RNAsieve,umi2counts,Marrow,-0.09801561943499898,0.11993135019338878
262,macrophage,RNAsieve,umi2counts,Marrow,0.05239295728428447,0.09208279901336557
263,monocyte,RNAsieve,umi2counts,Marrow,-0.09088880892278207,0.11780073779180335
264,B cell,Bisque,counts2umi,Limb_Muscle,0.2541713032063255,0.1374000758286966
265,T cell,Bisque,counts2umi,Limb_Muscle,-0.008837100162274647,0.1968337030885855
266,endothelial cell,Bisque,counts2umi,Limb_Muscle,0.5265673719970987,0.10705511369946728
267,macrophage,Bisque,counts2umi,Limb_Muscle,0.5596698205267701,0.11389835931116556
268,mesenchymal stem cell,Bisque,counts2umi,Limb_Muscle,0.5899582299300722,0.13003130528486728
269,skeletal muscle satellite cell,Bisque,counts2umi,Limb_Muscle,0.64930882981949,0.10296493981889249
270,B cell,Bisque,umi2counts,Limb_Muscle,-0.007064506160824312,0.20511631301341254
271,T cell,Bisque,umi2counts,Limb_Muscle,0.05816279103704077,0.14772314612794632
272,endothelial cell,Bisque,umi2counts,Limb_Muscle,0.12874011135066507,0.12435673917154574
273,macrophage,Bisque,umi2counts,Limb_Muscle,0.002243262757178382,0.14056174676650704
274,mesenchymal stem cell,Bisque,umi2counts,Limb_Muscle,-0.019782771044107327,0.1797408048621974
275,skeletal muscle satellite cell,Bisque,umi2counts,Limb_Muscle,-0.021722831412888274,0.14368129086496678
276,B cell,Bisque,counts2umi,Lung,0.627109075392396,0.08972033129051123
277,T cell,Bisque,counts2umi,Lung,0.2112185861730496,0.136251974859119
278,ciliated columnar cell of tracheobronchial tree,Bisque,counts2umi,Lung,0.7568016813578083,0.06920637795320844
279,classical monocyte,Bisque,counts2umi,Lung,0.5996134654180653,0.10445520520902617
280,leukocyte,Bisque,counts2umi,Lung,0.7536591174279859,0.0614741145004602
281,lung endothelial cell,Bisque,counts2umi,Lung,0.16744718119489177,0.1603679254978342
282,myeloid cell,Bisque,counts2umi,Lung,0.6487594018505651,0.0881454056958527
